,price,area,rooms,floor,floors,year,looked_by,latitude,longitude,saved,construction_year,renovation_year,price_sqm,type_Blokinis,type_Kita,type_Medinis,type_Monolitinis,type_Mūrinis,type_nan,mounting_Dalinė apdaila,mounting_Kita,mounting_Neįrengtas,mounting_Įrengtas,mounting_nan,energy_class_A,energy_class_A+,energy_class_A++,energy_class_B,energy_class_C,energy_class_D,energy_class_F,energy_class_G,energy_class_nan,aeroterminis,centrinis,centrinis kolektorinis,dujinis,elektra,geoterminis,kietu kuru,kita,saulės energija,skystu kuru,balkonas,drabužinė,none,palepe,pirtis,rūsys,sandėliukas,terasa,vieta_automobiliui,kameros,kodine_spyna,sargas,sarvuotos_durys,signalizacija,atskiras įėjimas,aukcionas,aukštos lubos,butas palėpėje,butas per kelis aukštus,buto dalis,internetas,kabelinė televizija,nauja elektros instaliacija,nauja kanalizacija,renovuotas namas,tualetas ir vonia atskirai,uždaras kiemas,virtuvė sujungta su kambariu,price_sqm_log,building_age,building_age_reno,lat_long,distance_to_center,price_cat_exp
346,159900,77.0,2,2,5,1999,195,54.734798,25.277872,7,1999,1999,2076.6233766233768,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.638498476968362,24,24,"(54.734798, 25.277872)",5.074021218329845,0
347,110000,32.33,1,1,3,1940,456,54.687324,25.284213,28,1940,1940,3402.4126198577173,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.132240053037211,83,83,"(54.687324, 25.284213)",0.8933515562986853,1
348,54000,18.0,1,4,5,1966,246,54.668959,25.246886,19,1966,1966,3000.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8.006367567650246,57,57,"(54.668959, 25.246886)",2.7382634015302187,0
349,99500,29.05,2,3,4,1961,741,54.668629,25.242457,125,1961,1961,3425.12908777969,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.138894439848764,62,62,"(54.668629, 25.242457)",2.9361696949827794,1
350,325000,69.0,3,2,5,2015,349,54.678018,25.25623,10,2015,2015,4710.144927536232,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.457473956714615,8,8,"(54.678018, 25.25623)",1.5687413021715206,1
351,570000,91.0,3,2,4,2005,530,54.693477,25.239742,17,2005,2005,6263.736263736264,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.742532133293883,18,18,"(54.693477, 25.239742)",2.0458092237177667,1
352,159000,50.06,3,2,3,1961,306,54.717877,25.318694,32,1961,1961,3176.188573711546,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,8.063437195198741,62,62,"(54.717877, 25.318694)",4.4208840860068594,0
353,119180,49.37,2,2,4,2023,114,54.710831,25.393129,17,2023,2023,2414.016609276889,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.789047282030198,0,0,"(54.710831, 25.393129)",8.21732372146482,0
354,151500,67.96,3,2,4,2023,111,54.710831,25.393129,9,2023,2023,2229.252501471454,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70942160712783,0,0,"(54.710831, 25.393129)",8.21732372146482,0
355,136350,55.43,3,0,4,2023,90,54.710831,25.393129,7,2023,2023,2459.8592819772684,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.807859424842021,0,0,"(54.710831, 25.393129)",8.21732372146482,0
